id,userQuestion,correctAnswer,category,tags
1,"How do I create an account?","Click on the Sign Up page, enter your name, email, and password, then verify your email address. Your account will be created instantly.","Account","signup;account;registration"
2,"How do I reset my password?","Go to Login page, click on 'Forgot Password', enter your registered email, and follow the reset link sent to your inbox.","Account","password;login;reset;security"
3,"How do I login to my account?","Visit the Login page, enter your email and password, then click Sign In. You'll be redirected to your account dashboard.","Account","login;password;authentication"
4,"Can I edit my profile?","Yes, go to My Account > Edit Profile to update your first name, last name, email, and address information.","Account","profile;update;edit;information"
5,"How do I view my orders?","Go to My Account > My Orders to see all your previous orders with order details, tracking, and status.","Order Management","orders;purchase;history;tracking"
6,"What should I do if my order is delayed?","Contact our support team at support@exclusive.com or call +8801611112222. We're available 24/7 to help resolve shipping delays.","Order Management","shipping;delay;support;contact"
7,"How can I cancel my order?","Visit My Account > My Orders, find the order you want to cancel, and click Cancel. Orders can only be cancelled before they're shipped.","Order Management","cancel;order;modification"
8,"How do I track my delivery?","Go to My Account > My Orders and click on your order to see the real-time tracking information and estimated delivery date.","Order Management","tracking;delivery;shipping;status"
9,"What are the available payment methods?","We accept credit cards, debit cards, digital wallets, and bank transfers. You can select your preferred payment method during checkout.","Billing","payment;checkout;methods;cards"
10,"How much does shipping cost?","Shipping costs are calculated based on your location and order weight. You'll see the exact shipping cost before confirming your order at checkout.","Billing","shipping;cost;delivery;fees"
11,"Do you offer free shipping?","Free shipping is available on orders over $100 within our service areas. Check your order summary during checkout to see if you qualify.","Billing","shipping;free;discount;promotion"
12,"Can I change my delivery address?","You can change the delivery address before checkout. After the order is placed, contact support@exclusive.com to request address changes.","Delivery","address;delivery;location;shipping"
13,"Do you deliver to my area?","We deliver to 50+ cities worldwide. Enter your postal code during checkout to verify if delivery is available in your area.","Delivery","shipping;location;areas;service"
14,"How long does delivery take?","Standard delivery takes 3-7 business days. Express delivery is available and takes 1-2 business days for an additional fee.","Delivery","shipping;time;speed;express"
15,"What is included in the flash sale?","Flash sales feature premium products with special discounts updated every 24 hours. Check the 'Flash Sale' section on the homepage for current offers.","Products","flashsale;discount;offers;deals"
16,"What are your best-selling products?","Our best-selling items include The North Coat, Gucci Duffle Bag, RGB Liquid CPU Cooler, and Small Book Shelf. Check the 'Best Selling' category for details.","Products","bestselling;popular;top;trending"
17,"Do you have gaming products?","Yes! We offer gaming peripherals including gamepads, gaming keyboards, monitors, and gaming laptops. Browse our Electronics category for all gaming gear.","Products","gaming;peripherals;equipment;tech"
18,"What new products are available?","New products are added weekly. Visit the 'New Arrival' section to see the latest products available in our store.","Products","newarrival;new;latest;recent"
19,"Can I find clothing items?","Yes, we have a wide clothing collection including jackets, winter coats, and seasonal wear. Check the Clothing category or browse by season.","Products","clothing;apparel;fashion;wear"
20,"Do you sell home furniture?","Yes! We offer furniture items like bookshelves, chairs, and home decor. Check the Home & Office category for complete furniture options.","Products","furniture;home;decor;office"
21,"Can I add products to my wishlist?","Yes, click the heart icon on any product to add it to your wishlist. You need to be logged in to save items. Access your wishlist from your account.","Shopping","wishlist;favorites;saved;collection"
22,"How do I add items to my cart?","Click the shopping cart icon next to any product and select the quantity. Items will be added to your cart instantly.","Shopping","cart;add;quantity;checkout"
23,"What should I do if an item is out of stock?","You can check availability in the product details. If out of stock, you can wishlist the item to get notifications when it's back in stock.","Shopping","stock;availability;outofstock;notify"
24,"Can I apply a discount code?","Yes, during checkout there's a 'Promo Code' field where you can enter your discount code to get special offers.","Shopping","discount;coupon;code;offer"
25,"How do I proceed to checkout?","Go to your shopping cart, review your items and quantities, then click 'Proceed to Checkout' to enter your delivery and payment details.","Shopping","checkout;cart;payment;order"
